====================
Attribute Shard
====================
item_name: Attribute Shard                    |price: 650000.0                           |uuid: 7632d98432c34660b7021f2f27d05137   |attributes_found: [('Lifeline', 'I', 1)]             |
item_name: Attribute Shard                    |price: 1250000.0                          |uuid: 81474dc6bf8241619648d326ce0e1354   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 1250000.0                          |uuid: 6450532671d242b2896637a5b2e53066   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 1250000.0                          |uuid: a33f75e948984f52bc71b9a4958a6afe   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 1250000.0                          |uuid: 9bfec586ae314e2eb0b993179ab42346   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 1250000.0                          |uuid: f843df6256054eb09987d8941bbca285   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 1400000.0                          |uuid: bf3d9c94ba8b40139e1dde4be3077975   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 1500000.0                          |uuid: 04ee5b5a3e304d80a6be29b55cc5f923   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 1550000.0                          |uuid: eb81394ed63a4fb5895ce629337a5255   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 1599500.0                          |uuid: 48b97c10107d4b18a8f89a4203f3480b   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 1750000.0                          |uuid: 5faa576edb6e40e0a55527e6fb0d2935   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 1800000.0                          |uuid: e087145e36304ee692c4767572073d8b   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 1849999.5                          |uuid: 69771639b0d1471292b7329c06bfef6d   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 1850000.0                          |uuid: 458394f18c0d40d28acca1f9d072b9c7   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 1850000.0                          |uuid: 1d614e098eba461bba2c8ab0f74cc7ec   |attributes_found: [('Veteran', 'II', 2)]             |
====================
Chestplate
====================
item_name: Terror Chestplate                  |price: 275000.0                           |uuid: 99d209be31194bdf89251c8703adaa4e   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Crimson Chestplate                 |price: 374500.0                           |uuid: ee86eaf5723b493ba23dabeaf986d479   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Terror Chestplate                  |price: 474875.0                           |uuid: 2aba3a568ff9409f89e8b74a60cce605   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Fervor Chestplate                  |price: 474999.875                         |uuid: d8b65de84eda4671bdc4d5c5a9569add   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Crimson Chestplate                 |price: 487500.0                           |uuid: 0662d13d9d5047f7b331452a95b1327e   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Terror Chestplate                  |price: 492500.0                           |uuid: 4978022b6b74484a8603e7b51ada0f68   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Fervor Chestplate                  |price: 500000.0                           |uuid: 7f4dd3de175b4130a94ff483e821a577   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Terror Chestplate                  |price: 500000.0                           |uuid: 3ad94613d17e423491cda9386b5d0060   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Fervor Chestplate                  |price: 500000.0                           |uuid: 3dcd02d48dfa4b048442a8a49c6cbf9a   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Hollow Chestplate                  |price: 500000.0                           |uuid: c644a236bd7e4f9394afc8cbca935c0f   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Crimson Chestplate                 |price: 520812.5                           |uuid: afbe2cc87f2544a6a54a8038b243af1b   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Crimson Chestplate                 |price: 524375.0                           |uuid: 517b0b7bdc564b56a461db99bed67a02   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Aurora Chestplate                  |price: 524999.875                         |uuid: afd878b71ac84228ba848ba8adec3478   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 525000.0                           |uuid: 6a3acf8abe7f462db5e14ba69e3c2b25   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 537500.0                           |uuid: 50afdc7b444b4d5398c65ea3e5da1902   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 543750.0                           |uuid: 6f58526c35b54ef4b64b1da09d5ff7a7   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Fierce Terror Chestplate           |price: 550000.0                           |uuid: d318aa233b824903a66d817a8163c237   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Aurora Chestplate                  |price: 562500.0                           |uuid: b3ad6247fe2c41708269e42d6ebecb80   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Aurora Chestplate                  |price: 589375.0                           |uuid: 40c1d849e6354203b7287c42dd60dc51   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Terror Chestplate                  |price: 600000.0                           |uuid: d65dcf7adf9e41a8804982478ee54c14   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Terror Chestplate                  |price: 624999.75                          |uuid: 797414f614c3411fbbab441bed25a23f   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Fervor Chestplate                  |price: 625000.0                           |uuid: af036a6bb3b8498ab7d46ec3e860e4b5   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Fervor Chestplate                  |price: 625000.0                           |uuid: ea58ac57821047d5a18c43fef51374ad   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Terror Chestplate                  |price: 625000.0                           |uuid: ebc1a358dbcb4366b2607c18c95cb558   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Terror Chestplate                  |price: 625000.0                           |uuid: 7e57c42ccf26428eb8600ac72ee30da1   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Terror Chestplate                  |price: 625000.0                           |uuid: 7fd9e818ae894d289e2a07782b86c8a1   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Hollow Chestplate                  |price: 625000.0                           |uuid: 0a956e76ef7c4c76bc15c6fc11c6b6f6   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Terror Chestplate                  |price: 625000.0                           |uuid: 9834eddecd7b4c718bb49d467348d3ce   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Terror Chestplate                  |price: 625000.0                           |uuid: d0189616e20c4fcd91200358740bee4f   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 625000.0                           |uuid: adfa10db9d7c48fdae18f7f76d6365aa   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Crimson Chestplate                 |price: 681250.0                           |uuid: 268a0ab6a52f47fb9546fda84269ef1c   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Crimson Chestplate                 |price: 700000.0                           |uuid: 3c904d1f7d004bceaca3499f6031ec8f   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Terror Chestplate                  |price: 725000.0                           |uuid: 1f24b4ac1fdc43b2b25bd8155cccb05f   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Hollow Chestplate                  |price: 749375.0                           |uuid: 5a61f30aec654e72909b681cb4483965   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Terror Chestplate                  |price: 749999.875                         |uuid: 1980094485cb4091a614f53ef8e9ab81   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Hollow Chestplate                  |price: 749999.875                         |uuid: cb52ae89653e4a3ab4498d2d132d695a   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Terror Chestplate                  |price: 750000.0                           |uuid: d5d75cae26c748ceae8f0e6f10a0856f   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Hollow Chestplate                  |price: 750000.0                           |uuid: dfcc0c030dde45dfaa3a0cc4c92f6459   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Aurora Chestplate                  |price: 750000.0                           |uuid: 84149b4113964b28a55cf67904087efe   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 750000.0                           |uuid: 7f0f4c36c689488492c7297d231e1993   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Terror Chestplate                  |price: 750000.0                           |uuid: 174bceafe69f4b41af6547d2ef8468c1   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Aurora Chestplate                  |price: 750000.0                           |uuid: 7579f139813b4c1ebd26f063df746e64   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Crimson Chestplate                 |price: 750000.0                           |uuid: 69488ff23584414d8f04f8e497778d0c   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Terror Chestplate                  |price: 750000.0                           |uuid: 2f66af48424c436b8b068e92a7ebfa97   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 762500.0                           |uuid: 79285af9428d486890ee2a8156eb0c79   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Terror Chestplate                  |price: 799500.0                           |uuid: 62bf325eae6d435cbb483cd4acf7505b   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Terror Chestplate                  |price: 799750.0                           |uuid: 563960634b0440b1bdb911f13ff0baf8   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Fervor Chestplate                  |price: 800000.0                           |uuid: e2364b48d9a0407cb7418a01f65f3d2c   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Terror Chestplate                  |price: 800000.0                           |uuid: 49d26ee8b4c549c5bbb36f6a86a7577e   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 850000.0                           |uuid: 739db33c0351439ea37641974af76422   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Fervor Chestplate                  |price: 850000.0                           |uuid: fd0555c630fd40419d0c6bb9b3e85f23   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Terror Chestplate                  |price: 850000.0                           |uuid: 1ccf5611a401460f9a9bd4aa378e4028   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Aurora Chestplate                  |price: 859375.0                           |uuid: 4f5b5952f55f49f7ae3c27ae742bff3a   |attributes_found: [('Mana Pool', 'VII', 7)]          |
item_name: Hollow Chestplate                  |price: 862500.0                           |uuid: 727b84e79def46c39db4586d428b65cd   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Crimson Chestplate                 |price: 862500.0                           |uuid: 53593bce93ad4bf38142f94e4558f900   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Fervor Chestplate                  |price: 874999.75                          |uuid: ae59f1e5bc614d67a5b6895fbf875aea   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Aurora Chestplate                  |price: 874999.9375                        |uuid: b25fba55de6046a5b1152f48062d6555   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Crimson Chestplate                 |price: 875000.0                           |uuid: dd5a8b9d0ec34c7a84d603db194f45cf   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Hollow Chestplate                  |price: 875000.0                           |uuid: 27852d14ac224290b2dd660328766c7e   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Crimson Chestplate                 |price: 875000.0                           |uuid: 3e9cce1c3be34a258ccd59a90516b26b   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Aurora Chestplate                  |price: 875000.0                           |uuid: 9100719afcf04048bb5fee35e0a4da70   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Aurora Chestplate                  |price: 890625.0                           |uuid: 8c959f193aa241c3a29dac928644a88d   |attributes_found: [('Mana Pool', 'VII', 7)]          |
item_name: Crimson Chestplate                 |price: 900000.0                           |uuid: a09d8deeaa2d474893c3a7797ed872d7   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Hollow Chestplate                  |price: 900000.0                           |uuid: bac112ab7d9842c6bc7d2430522328e8   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Aurora Chestplate                  |price: 921875.0                           |uuid: 919a673c3ac044438ea8d1bca5cb5662   |attributes_found: [('Mana Pool', 'VII', 7)]          |
item_name: Aurora Chestplate                  |price: 925000.0                           |uuid: b13c0471242f4fa69e5890722d47dd56   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 937187.5                           |uuid: a8eead38be6f438cb9da0300a9aefe97   |attributes_found: [('Mana Pool', 'VI', 6)]           |
item_name: Crimson Chestplate                 |price: 937500.0                           |uuid: 9b356498efb2444e891fa361edcb70f2   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Crimson Chestplate                 |price: 997500.0                           |uuid: 9f9e10516c5f46af85a538ce781c021c   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Aurora Chestplate                  |price: 998000.0                           |uuid: 205352b0fe584b7eab6a354f9af70a83   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Aurora Chestplate                  |price: 999375.0                           |uuid: 9780423def3d440baabb39717a5c138d   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Aurora Chestplate                  |price: 999375.0                           |uuid: 04e849868ce8450a876af8a371c12cd3   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Aurora Chestplate                  |price: 999375.0                           |uuid: 454b8fc6a5df43d58224158e1427a4b6   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Crimson Chestplate                 |price: 999500.0                           |uuid: 8f50da43d42d44ecb1314555f6cd69b5   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Aurora Chestplate                  |price: 999999.0                           |uuid: 4cc72063427d4a4b9a2e3ee6ead33785   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Terror Chestplate                  |price: 999999.0                           |uuid: 26f1de2c74ee4f8da3b85f08e88af1dd   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Fierce Crimson Chestplate          |price: 1000000.0                          |uuid: 46372e35fed2475f8bca8b461b1d35d7   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Hollow Chestplate                  |price: 1000000.0                          |uuid: 88781d73173e4ff89a659c633dbd86b0   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Fervor Chestplate                  |price: 1000000.0                          |uuid: 5ea3228d2b3f4b0380e20b88c63701a5   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Aurora Chestplate                  |price: 1000000.0                          |uuid: 0c7e9857bd744d87b8354561129cb3cf   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Fervor Chestplate                  |price: 1000000.0                          |uuid: f3bba204dab74822898763ac9af9469c   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Terror Chestplate                  |price: 1000000.0                          |uuid: 233c8d881ccd4f90bfc184742c209c52   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Aurora Chestplate                  |price: 1000000.0                          |uuid: 4807e34e5e9f49d2b0a38adc50081ca8   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Terror Chestplate                  |price: 1000000.0                          |uuid: 7927c5d937b24a899900483c92f790b2   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Fervor Chestplate                  |price: 1000000.0                          |uuid: 1c8731ef06664ef28f20c41f282b378a   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Hollow Chestplate                  |price: 1000000.0                          |uuid: 9516648be11d4d2ea29dcde06ac6ce74   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Aurora Chestplate                  |price: 1000000.0                          |uuid: c12300e2364d47f891a87a850871df41   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Crimson Chestplate                 |price: 1000000.0                          |uuid: df113ab10f5948748e29d5031d6f8675   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Crimson Chestplate                 |price: 1000000.0                          |uuid: 6efbb75eb5b74937b0f3db418d83adeb   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Terror Chestplate                  |price: 1000000.0                          |uuid: 52191fbab1774615ba812d35a9487630   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Crimson Chestplate                 |price: 1000000.0                          |uuid: dd39b4ed4a254b1990066e1677f3820f   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Terror Chestplate                  |price: 1000000.0                          |uuid: f8ccf717f2ba46679ba40392dd32a79d   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Crimson Chestplate                 |price: 1000000.0                          |uuid: bcc97bda43af4c12b82eeb589f1cd48e   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Aurora Chestplate                  |price: 1056250.0                          |uuid: cf92332ea86f4d9ca007fe8bb3cb509f   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Crimson Chestplate                 |price: 1100000.0                          |uuid: 498b375120ae4a7f86dbb297cf7a5374   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Crimson Chestplate                 |price: 1112500.0                          |uuid: 6444139a98be45d5a918f7a253b32840   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Crimson Chestplate                 |price: 1124999.875                        |uuid: 5f2854b5e8db4252b458e11eee159644   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 1125000.0                          |uuid: 0594fb2102f44577bdeb93fb4cae20ae   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 1125000.0                          |uuid: 3383f449b01b4b6c919c3d0d7c13bbe8   |attributes_found: [('Mana Pool', 'V', 5)]            |
item_name: Crimson Chestplate                 |price: 1200000.0                          |uuid: 1d341e4f507648d4a9395d7aa5a428ca   |attributes_found: [('Mana Pool', 'I', 1)]            |
item_name: Aurora Chestplate                  |price: 1200000.0                          |uuid: 8392411466764c669a49e61b7d6bfb6f   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Aurora Chestplate                  |price: 1225000.0                          |uuid: b457eb9cf0e64912b2e9ca636f6d202a   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Aurora Chestplate                  |price: 1225000.0                          |uuid: b24ee366e5be4253a078ad3cff899737   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Aurora Chestplate                  |price: 1225000.0                          |uuid: 19028cc33e974e63a332b2b6926c98ea   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 1237375.0                          |uuid: 98763f602300401d8b1353b54119993f   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 1237500.0                          |uuid: 573bcdf6b2ae4ba7be4deaf89a522ebf   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 1237500.0                          |uuid: 0c09e0346c164b88a79c78a34d1a1b03   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Aurora Chestplate                  |price: 1249875.0                          |uuid: 176edef155c34714bfcf73faac6f719e   |attributes_found: [('Mana Pool', 'IV', 4)]           |
item_name: Fervor Chestplate                  |price: 1250000.0                          |uuid: f28c06bf23334a7daee547e76b9987fd   |attributes_found: [('Mana Pool', 'II', 2)]           |
item_name: Aurora Chestplate                  |price: 1250000.0                          |uuid: b2d52f812b2e46c284643bbdeaa3c4d6   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Crimson Chestplate                 |price: 1250000.0                          |uuid: 9d5aa561fb4f45d5a7b0c436ffba51aa   |attributes_found: [('Mana Pool', 'III', 3)]          |
item_name: Aurora Chestplate                  |price: 1250000.0                          |uuid: a68a17135acd4dd4b43a1cc05807ddac   |attributes_found: [('Mana Pool', 'III', 3)]          |
